Posici¢n,Clubs,L¡der,Subl¡der,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Leicester,9,29,77,117,229,390,563,687,641,598,448,346,251,169,150,130,69,62,25,10
2,Arsenal,1541,1394,849,556,305,190,92,38,17,13,1,2,1,1,0,0,0,0,0,0
3,Tottenham,213,433,712,817,861,719,553,316,178,90,49,28,18,5,4,4,0,0,0,0
4,Man City,2260,1222,709,376,216,127,51,29,7,2,1,0,0,0,0,0,0,0,0,0
5,Man United,294,577,746,830,823,696,446,254,161,78,40,32,12,3,4,3,1,0,0,0
6,Southampton,25,94,211,363,531,691,812,725,515,322,231,185,116,62,41,36,25,10,5,0
7,West Ham,0,1,7,22,48,87,211,288,428,469,498,512,500,440,399,317,311,210,171,81
8,Liverpool,212,465,679,801,803,711,530,307,222,119,76,34,23,11,3,4,0,0,0,0
9,Stoke City,0,2,4,13,25,56,125,217,296,373,463,470,467,485,440,385,412,320,275,172
10,Chelsea,431,752,911,887,730,557,374,175,95,48,22,9,5,4,0,0,0,0,0,0
11,Everton,14,25,71,155,263,443,592,699,618,546,417,306,240,213,138,120,78,33,23,6
12,Swansea,0,0,2,10,22,64,118,238,338,427,472,510,515,456,462,421,342,280,214,109
13,Watford,0,0,2,1,10,27,71,99,188,252,333,390,453,468,444,496,506,518,410,332
14,West Brom,0,0,0,3,1,8,15,42,73,132,173,278,321,378,497,516,590,642,698,633
15,Crystal Palace,0,2,11,20,43,75,161,287,362,437,480,480,477,458,421,364,326,284,182,130
16,Bournemouth,1,3,8,23,69,113,189,345,446,511,516,488,464,473,353,323,240,181,149,105
17,Sunderland,0,0,0,1,1,3,11,32,51,81,135,167,248,294,425,484,604,713,810,940
18,Newcastle,0,0,0,1,8,15,32,79,136,196,260,321,373,459,497,564,540,545,570,404
19,Norwich,0,1,1,4,11,26,51,136,204,249,329,357,396,427,464,485,501,547,455,356
20,Aston Villa,0,0,0,0,1,2,3,7,24,57,56,85,120,194,258,348,455,655,1013,1722
,,,,,,,,,,,,,,,,,,,,,
Posici¢n,Clubs,L¡der,Subl¡der,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Leicester,0.2%,1%,2%,2%,5%,8%,11%,14%,13%,12%,9%,7%,5%,3%,3%,3%,1%,1%,1%,0.2%
2,Arsenal,31%,28%,17%,11%,6%,4%,2%,1%,0.3%,0.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3,Tottenham,4%,9%,14%,16%,17%,14%,11%,6%,4%,2%,1%,1%,0.4%,0.1%,0.1%,0.1%,0%,0%,0%,0%
4,Man City,45%,24%,14%,8%,4%,3%,1%,1%,0.1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5,Man United,6%,12%,15%,17%,16%,14%,9%,5%,3%,2%,1%,1%,0.2%,0.1%,0.1%,0.1%,0%,0%,0%,0%
6,Southampton,1%,2%,4%,7%,11%,14%,16%,15%,10%,6%,5%,4%,2%,1%,1%,1%,1%,0.2%,0.1%,0%
7,West Ham,0%,0%,0.1%,0.4%,1%,2%,4%,6%,9%,9%,10%,10%,10%,9%,8%,6%,6%,4%,3%,2%
8,Liverpool,4%,9%,14%,16%,16%,14%,11%,6%,4%,2%,2%,1%,0.5%,0.2%,0.1%,0.1%,0%,0%,0%,0%
9,Stoke City,0%,0%,0.1%,0.3%,1%,1%,3%,4%,6%,7%,9%,9%,9%,10%,9%,8%,8%,6%,6%,3%
10,Chelsea,9%,15%,18%,18%,15%,11%,7%,4%,2%,1%,0.4%,0.2%,0.1%,0.1%,0%,0%,0%,0%,0%,0%
11,Everton,0.3%,1%,1%,3%,5%,9%,12%,14%,12%,11%,8%,6%,5%,4%,3%,2%,2%,1%,0.5%,0.1%
12,Swansea,0%,0%,0%,0.2%,0.4%,1%,2%,5%,7%,9%,9%,10%,10%,9%,9%,8%,7%,6%,4%,2%
13,Watford,0%,0%,0%,0%,0.2%,1%,1%,2%,4%,5%,7%,8%,9%,9%,9%,10%,10%,10%,8%,7%
14,West Brom,0%,0%,0%,0%,0%,0.2%,0.3%,1%,1%,3%,3%,6%,6%,8%,10%,10%,12%,13%,14%,13%
15,Crystal Palace,0%,0%,0.2%,0.4%,1%,2%,3%,6%,7%,9%,10%,10%,10%,9%,8%,7%,7%,6%,4%,3%
16,Bournemouth,0%,0.1%,0.2%,0.5%,1%,2%,4%,7%,9%,10%,10%,10%,9%,9%,7%,6%,5%,4%,3%,2%
17,Sunderland,0%,0%,0%,0%,0%,0.1%,0.2%,1%,1%,2%,3%,3%,5%,6%,9%,10%,12%,14%,16%,19%
18,Newcastle,0%,0%,0%,0%,0.2%,0.3%,1%,2%,3%,4%,5%,6%,7%,9%,10%,11%,11%,11%,11%,8%
19,Norwich,0%,0%,0%,0.1%,0.2%,1%,1%,3%,4%,5%,7%,7%,8%,9%,9%,10%,10%,11%,9%,7%
20,Aston Villa,0%,0%,0%,0%,0%,0%,0.1%,0.1%,0.5%,1%,1%,2%,2%,4%,5%,7%,9%,13%,20%,34%
,,,,,,,,,,,,,,,,,,,,,
