Rank,Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Juventus,2348,1172,668,416,229,120,34,11,2,0,0,0,0,0,0,0,0,0,0,0
2,Inter,913,1060,948,776,625,398,213,46,15,4,2,0,0,0,0,0,0,0,0,0
3,Atalanta,640,908,979,877,739,480,250,80,34,7,4,2,0,0,0,0,0,0,0,0
4,Lazio,325,573,730,854,867,857,473,201,77,26,13,2,1,0,1,0,0,0,0,0
5,Roma,156,323,548,687,881,1015,788,330,147,65,31,17,5,2,4,1,0,0,0,0
6,Milan,38,104,203,381,610,936,1269,709,387,183,76,59,23,9,9,0,3,1,0,0
7,Napoli,579,853,879,905,788,538,300,108,37,8,3,0,2,0,0,0,0,0,0,0
8,Sassuolo,0,0,2,2,16,29,113,272,399,535,535,501,534,471,404,407,287,250,140,103
9,Verona,0,0,0,2,1,20,56,150,239,353,441,512,552,548,563,476,413,307,236,131
10,Fiorentina,1,5,36,68,141,324,711,1102,823,572,413,271,185,146,99,58,23,15,6,1
11,Parma,0,0,0,0,4,1,12,51,121,158,232,301,368,440,504,603,624,592,528,461
12,Bologna,0,0,2,13,48,92,245,581,721,628,590,492,403,340,267,207,166,102,70,33
13,Udinese,0,1,0,0,3,19,63,149,293,375,385,486,444,513,491,486,450,371,314,157
14,Cagliari,0,0,0,0,6,14,55,142,229,351,399,440,486,492,503,534,463,433,284,169
15,Sampdoria,0,0,1,6,8,40,111,264,392,480,562,525,507,466,450,376,332,254,158,68
16,Torino,0,1,4,13,27,87,223,533,640,668,608,516,465,382,294,208,161,101,44,25
17,Genoa,0,0,0,0,6,30,77,247,362,454,492,531,546,510,433,398,359,264,192,99
18,Lecce,0,0,0,0,0,0,2,10,40,53,85,132,198,268,371,452,630,833,956,970
19,Brescia,0,0,0,0,1,0,2,7,19,39,57,94,124,190,277,351,521,693,1038,1587
20,Spal,0,0,0,0,0,0,3,7,23,41,72,119,157,223,330,443,568,784,1034,1196
,,,,,,,,,,,,,,,,,,,,,
Posición,Clubs,Líder,Sublíder,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Juventus,47%,23%,13%,8%,5%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2,Inter,18%,21%,19%,16%,13%,8%,4%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3,Atalanta,13%,18%,20%,18%,15%,10%,5%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4,Lazio,7%,11%,15%,17%,17%,17%,9%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5,Roma,3%,6%,11%,14%,18%,20%,16%,7%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6,Milan,1%,2%,4%,8%,12%,19%,25%,14%,8%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%
7,Napoli,12%,17%,18%,18%,16%,11%,6%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
8,Sassuolo,0%,0%,0%,0%,0%,1%,2%,5%,8%,11%,11%,10%,11%,9%,8%,8%,6%,5%,3%,2%
9,Verona,0%,0%,0%,0%,0%,0%,1%,3%,5%,7%,9%,10%,11%,11%,11%,10%,8%,6%,5%,3%
10,Fiorentina,0%,0%,1%,1%,3%,6%,14%,22%,16%,11%,8%,5%,4%,3%,2%,1%,0%,0%,0%,0%
11,Parma,0%,0%,0%,0%,0%,0%,0%,1%,2%,3%,5%,6%,7%,9%,10%,12%,12%,12%,11%,9%
12,Bologna,0%,0%,0%,0%,1%,2%,5%,12%,14%,13%,12%,10%,8%,7%,5%,4%,3%,2%,1%,1%
13,Udinese,0%,0%,0%,0%,0%,0%,1%,3%,6%,8%,8%,10%,9%,10%,10%,10%,9%,7%,6%,3%
14,Cagliari,0%,0%,0%,0%,0%,0%,1%,3%,5%,7%,8%,9%,10%,10%,10%,11%,9%,9%,6%,3%
15,Sampdoria,0%,0%,0%,0%,0%,1%,2%,5%,8%,10%,11%,11%,10%,9%,9%,8%,7%,5%,3%,1%
16,Torino,0%,0%,0%,0%,1%,2%,4%,11%,13%,13%,12%,10%,9%,8%,6%,4%,3%,2%,1%,1%
17,Genoa,0%,0%,0%,0%,0%,1%,2%,5%,7%,9%,10%,11%,11%,10%,9%,8%,7%,5%,4%,2%
18,Lecce,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,3%,4%,5%,7%,9%,13%,17%,19%,19%
19,Brescia,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,2%,4%,6%,7%,10%,14%,21%,32%
20,Spal,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,3%,4%,7%,9%,11%,16%,21%,24%
,,,,,,,,,,,,,,,,,,,,,
